Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,2.788767E+00,7.813979E+04,2.788767E+00,2.616865E+04,6.093046E+04,2.788767E+00,8.514558E+04,2.788767E+00,1.916286E+04,6.349136E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
02:00:00,2.788767E+00,7.918225E+04,2.788767E+00,2.512619E+04,5.986225E+04,2.788767E+00,8.618805E+04,2.788767E+00,1.812040E+04,5.998264E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
03:00:00,2.788767E+00,7.996410E+04,2.788767E+00,2.434435E+04,5.906114E+04,2.788767E+00,8.696989E+04,2.788767E+00,1.733855E+04,5.738584E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
04:00:00,2.788767E+00,8.074595E+04,2.788767E+00,2.356250E+04,5.825999E+04,2.788767E+00,8.775174E+04,2.788767E+00,1.655671E+04,5.481835E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
05:00:00,2.788767E+00,8.126718E+04,2.788767E+00,2.304127E+04,5.772593E+04,2.788767E+00,8.827297E+04,2.788767E+00,1.603548E+04,5.312274E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
06:00:00,2.788767E+00,8.074595E+04,2.788767E+00,2.356250E+04,5.825999E+04,2.788767E+00,8.775174E+04,2.788767E+00,1.655671E+04,5.481835E+04,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
07:00:00,2.788767E+00,7.892164E+04,6.687883E+00,7.159029E+04,1.604644E+05,2.788767E+00,8.592743E+04,6.542504E+00,6.285287E+04,1.595088E+05,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
08:00:00,2.788767E+00,7.449118E+04,8.295867E+00,9.182359E+04,1.763221E+05,2.788767E+00,8.149697E+04,8.167883E+00,8.337602E+04,1.865971E+05,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
09:00:00,2.788767E+00,6.953948E+04,8.181626E+00,9.541578E+04,1.521924E+05,2.788767E+00,7.654528E+04,8.063373E+00,8.707756E+04,1.726487E+05,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
10:00:00,2.788767E+00,6.510902E+04,8.000930E+00,9.785499E+04,1.594211E+05,2.788767E+00,7.211481E+04,7.883492E+00,8.952675E+04,1.802892E+05,2.788767E+00,1.857936E+05,2.788767E+00,0.000000E+00,0.000000E+00
